candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
42,37.5,0.1,68.0,65.0,20,1.4,30.0,32.5,1.0976990995945983,0.655631219573994,-0.7875993884076185,156722.42409020965,140,13
139,40.5,0.3,68.0,65.0,20,1.6,30.0,32.5,1.0964204051366555,0.6292197787249102,-0.7741176788979387,155186.9655820321,148,16
2,37.5,0.0,67.0,65.0,20,1.4,30.0,32.5,1.0930478155392152,0.6654237807292396,-0.7815854793609469,151204.57230035923,152,13
162,43.0,0.0,68.0,65.0,20,1.4,30.0,32.5,1.090968806955472,0.64144118709374,-0.7575311035781369,148797.63269011138,129,17
170,43.0,0.1,67.0,65.0,20,1.4,30.0,32.5,1.0902848762494037,0.648822752172675,-0.7642073350185261,148013.71182466592,161,17
206,43.0,0.3,67.5,66.0,20,1.4,30.0,32.5,1.0887070986375589,0.6285460768228607,-0.7604797548593614,146220.01723655523,187,17
97,40.5,0.1,67.0,65.0,15,1.6,30.0,32.5,1.0825357970343128,0.6477840622363603,-0.7776330162254854,139398.16966391442,126,16
165,43.0,0.0,68.0,66.0,15,1.6,30.0,32.5,1.0803019730664651,0.630955299161206,-0.7575311035781371,137003.33144618478,109,17
173,43.0,0.1,67.0,66.0,15,1.6,30.0,32.5,1.0791544065079952,0.6351429244540131,-0.7642073350185259,135788.10745883075,130,17
122,40.5,0.3,67.0,65.0,20,1.4,30.0,32.5,1.0790763395925325,0.6439080441085956,-0.7741176788979385,135705.8063533199,199,16
189,43.0,0.1,68.0,66.0,15,1.6,30.0,32.5,1.0782796894710658,0.627331089525411,-0.7642073350185261,134868.61849578476,116,17
188,43.0,0.1,68.0,66.0,15,1.4,30.0,32.5,1.0782057479560034,0.6346853265733221,-0.764207335018526,134791.16065374808,129,17
18,37.5,0.0,68.0,65.0,20,1.4,30.0,32.5,1.073778501046955,0.6578298406283805,-0.7815854793609474,130228.68204654769,129,13
26,37.5,0.1,67.0,65.0,20,1.4,30.0,32.5,1.0731001930828503,0.6650027177370679,-0.7875993884076188,129542.58926879198,161,13
62,37.5,0.3,67.5,66.0,20,1.4,30.0,32.5,1.0715353867213242,0.645262481620091,-0.7842416066647964,127972.73578402496,187,13
202,43.0,0.3,67.5,65.0,20,1.4,30.0,32.5,1.0712872476831472,0.6280041202448615,-0.7604797548593614,127725.44188547261,186,17
161,43.0,0.0,68.0,65.0,15,1.6,30.0,32.5,1.0699559754887247,0.6328120131866213,-0.757531103578137,126406.33991791222,107,17
149,43.0,0.0,67.0,66.0,15,1.6,30.0,32.5,1.0686128082010335,0.6378274486732621,-0.7575311035781367,125088.41083370784,123,17
127,40.5,0.3,67.0,66.0,20,1.6,30.0,32.5,1.0664093813002111,0.636518925787081,-0.7741176788979385,122954.26699332419,161,16
21,37.5,0.0,68.0,66.0,15,1.6,30.0,32.5,1.0631993615018414,0.6476095602629484,-0.781585479360947,119906.23081605442,109,13
29,37.5,0.1,67.0,66.0,15,1.6,30.0,32.5,1.062061229335756,0.6516628623229221,-0.7875993884076185,118842.65866505032,130,13
45,37.5,0.1,68.0,66.0,15,1.6,30.0,32.5,1.0611937035364,0.644079125522235,-0.7875993884076187,118037.91578272839,116,13
44,37.5,0.1,68.0,66.0,15,1.4,30.0,32.5,1.0611203699104936,0.6512441853020879,-0.7875993884076185,117970.12416198666,129,13
184,43.0,0.1,68.0,65.0,15,1.4,30.0,32.5,1.0609693119418449,0.6359473612053652,-0.7642073350185259,117830.59710567241,127,17
142,40.5,0.3,68.0,66.0,20,1.4,30.0,32.5,1.059421974371344,0.6366618596036997,-0.7741176788979384,116410.2610630126,174,16
185,43.0,0.1,68.0,65.0,15,1.6,30.0,32.5,1.0574189860225656,0.628834463701735,-0.7642073350185259,114595.51683077156,114,17
58,37.5,0.3,67.5,65.0,20,1.4,30.0,32.5,1.0542587481217747,0.6447347263005169,-0.7842416066647965,111786.15989946057,186,13
17,37.5,0.0,68.0,65.0,15,1.6,30.0,32.5,1.0529384206034242,0.6494187267612135,-0.7815854793609474,110631.67304631157,107,13
5,37.5,0.0,67.0,66.0,15,1.6,30.0,32.5,1.0516062957839347,0.654279665178486,-0.7815854793609468,109478.21270851027,123,13
168,43.0,0.1,67.0,65.0,15,1.4,30.0,32.5,1.0513391800220826,0.6431469347256062,-0.7642073350185261,109248.2845518323,141,17
