Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2012-08-09,63.663811939450774,False,0.0084837837087763,-0.01623762881806639,0.0084837837087763,above,above,3.4043557206905253
2012-08-10,63.83103409742906,False,0.0041174682971711,-0.02653940386308489,0.0041174682971711,above,above,3.418373047442762
2012-08-13,64.75546657929038,False,0.0060608954375098,-0.05136695042677957,0.0060608954375098,above,above,3.4390914490497146
2012-08-14,63.74949699290767,False,0.0014167630932468,0.09792114370872969,0.0014167630932468,above,above,3.4439638268890294
2012-08-15,63.64064906650904,False,0.0070777252329028,0.01530575357074899,0.0070777252329028,above,above,3.4683392565678064
2012-08-16,64.2255825298572,False,0.0358401076075831,-0.041119991389309045,0.0358401076075831,above,above,3.5926449087428014
2012-08-17,67.71455934126935,False,0.0137369907721958,-0.0647450270980408,0.0137369907721958,above,above,3.6419970387019776
2012-08-20,68.59053280249064,False,0.0038482999322644,-0.0009553607981725356,0.0038482999322644,above,above,3.656012535659322
2012-08-21,68.56782973156412,False,-0.0114991404097504,0.05384667430283314,-0.0114991404097504,above,above,3.613971534171968
2012-08-22,64.75529762754098,False,0.0107894953756557,0.023401275119120553,0.0107894953756557,above,above,3.6529644633276677
2012-08-23,64.89090902625057,False,-0.0221844627513649,0.04351938140543505,-0.0221844627513649,above,above,3.5719254092589154
2012-08-24,56.53633098548117,False,0.0177405700329686,-0.0826204149601915,0.0177405700329686,above,above,3.6352934021344137
2012-08-27,60.842617983297245,False,0.004860972482408,0.006606867104909717,0.004860972482408,above,above,3.6529644633276686
2012-08-28,60.35161034152538,False,-0.000166100708723,0.041981797762971014,-0.000166100708723,above,above,3.65235770334137
2012-08-29,59.49745218090814,False,0.000332657397549,0.011879863918632114,0.000332657397549,above,above,3.6535726871498815
2012-08-30,60.131792729580425,False,-0.0305190794704653,0.034970441381541435,-0.0305190794704653,above,above,3.542069011959633
2012-08-31,52.01449739932845,False,0.0213318312294545,-0.058969650458831784,0.0213318312294545,above,above,3.6176278303258367
2012-09-04,56.127451756823326,False,-0.0042120971697779,-0.015377984956008553,-0.0042120971697779,above,above,3.6023900303804117
2012-09-05,54.95570917208458,False,-0.0045662712766815,-0.04961288708043914,-0.0045662712766815,above,above,3.585940540257282
2012-09-06,53.848427455561264,False,0.0661004719989797,-0.20036324316460924,0.0661004719989797,above,above,3.822972902528565
2012-09-07,67.38119767694332,False,-0.0043042365005842,-0.1260139397631586,-0.0043042365005842,above,above,3.806517923020757
2012-09-10,69.33922905718808,False,-0.0368172323036857,0.09452180217346125,-0.0368172323036857,above,above,3.6663724683807586
2012-09-11,63.12010831092682,False,-0.0043202927693812,0.01680061208429246,-0.0043202927693812,above,above,3.650532665915755
2012-09-12,64.84118515659696,False,0.0086784783661084,-0.052214337077432,0.0086784783661084,above,above,3.6822137346816772
